"id", "object_id", "office_id", "description", "region", "address1", "address2", "city", "zip_code", "state_code", "country_code", "latitude", "longitude", "created_at", "updated_at"
1,'c:1',1,'','Seattle','710 - 2nd Avenue','Suite 1100','Seattle','98104','WA','USA',47.6031220000,-122.3332530000,NULL,NULL
2,'c:3',3,'Headquarters','SF Bay','4900 Hopyard Rd','Suite 310','Pleasanton','94588','CA','USA',37.6929340000,-121.9049450000,NULL,NULL
3,'c:4',4,NULL,'SF Bay','135 Mississippi St',NULL,'San Francisco','94107','CA','USA',37.7647260000,-122.3945230000,NULL,NULL
4,'c:5',5,'Headquarters','SF Bay','1601 Willow Road',NULL,'Menlo Park','94025','CA','USA',37.4160500000,-122.1518010000,NULL,NULL
5,'c:7',7,'','SF Bay','Suite 200','654 High Street','Palo Alto','94301','CA','ISR',NULL,NULL,NULL,NULL
6,'c:8',8,NULL,'SF Bay','959 Skyway Road, Suite 200',NULL,'San Carlos','94070','CA','USA',37.5068850000,-122.2475730000,NULL,NULL
7,'c:9',9,'Headquarters','Los Angeles','9229 W. Sunset Blvd.',NULL,'West Hollywood','90069','CA','USA',34.0903680000,-118.3930640000,NULL,NULL
8,'c:10',10,NULL,'Los Angeles','8536 National Blvd, Suite A',NULL,'Culver City','90232','CA','USA',34.0259580000,-118.3797680000,NULL,NULL
9,'c:11',11,'','Los Angeles','407 N Maple Dr',NULL,'Beverly Hills','90210','CA','USA',34.0761790000,-118.3941700000,NULL,NULL
10,'c:12',12,'','SF Bay','1355 Market St.',NULL,'San Francisco','94103','CA','USA',37.7768052000,-122.4169244000,NULL,NULL
11,'c:14',14,NULL,'SF Bay',NULL,NULL,'Menlo Park',NULL,'CA','USA',37.4841300000,-122.1694720000,NULL,NULL
12,'c:15',15,'HQ','SF Bay','539 Bryant Street',NULL,'San Francisco','94107','CA','USA',37.7896340000,-122.4040520000,NULL,NULL
13,'c:16',16,'','San Diego','16935 W. Bernardo Dr. Suite 101',NULL,'San Diego','92127','CA','USA',33.0221760000,-117.0814060000,NULL,NULL
14,'c:18',17,'Lala Headquarters','SF Bay','209 Hamilton Ave','Suite #200','Palo Alto','94301','CA','USA',37.4511510000,-122.1543690000,NULL,NULL
15,'c:19',18,NULL,'Los Angeles','10960 Wilshire Blvd.','Suite 700','Los Angeles','90024','CA','USA',34.0574980000,-118.4465960000,NULL,NULL
16,'c:20',19,'Headquarters','SF Bay','2145 Hamilton Avenue',NULL,'San Jose','95125','CA','USA',37.2950050000,-121.9300350000,NULL,NULL
17,'c:21',20,NULL,'United States - Other',NULL,NULL,NULL,NULL,NULL,'USA',37.0902400000,-95.7128910000,NULL,NULL
18,'c:22',21,NULL,'New York',NULL,NULL,'New York City','','NY','USA',40.7579290000,-73.9855060000,NULL,NULL
19,'c:23',22,'','New York','100 5th Ave Fl 6',NULL,'New York','10011-6903','NY','USA',40.7464969000,-74.0094471000,NULL,NULL
20,'c:24',23,NULL,'California - Other',NULL,NULL,NULL,'','CA','USA',37.2691750000,-119.3066070000,NULL,NULL
21,'c:25',24,'HQ','New York','1515 Broadway',NULL,'New York','10036','NY','USA',40.7577250000,-73.9860110000,NULL,NULL
22,'c:26',25,'','London',NULL,NULL,'London','',NULL,'GBR',53.3441040000,-6.2674940000,NULL,NULL
23,'c:27',26,'HQ','SF Bay','1050 Enterprise Way, 5th floor',NULL,'Sunnyvale','94089','CA','USA',37.3878450000,-122.0551970000,NULL,NULL
24,'c:28',27,'Headquarters','SF Bay','170 West Tasman Dr.',NULL,'San Jose','95134','CA','USA',37.4088020000,-121.9537700000,NULL,NULL
25,'c:29',28,NULL,'SF Bay','701 First Avenue',NULL,'Sunnyvale','94089','CA','USA',37.4185310000,-122.0254850000,NULL,NULL
26,'c:30',29,NULL,'SF Bay','475 Brannan St',NULL,'San Francisco','94107','CA','USA',37.7786130000,-122.3952890000,NULL,NULL
27,'c:31',30,'','SF Bay','360 Post St. Ste. 1100',NULL,'San Francisco','94108','CA','USA',37.7795580000,-122.3930410000,NULL,NULL
28,'c:32',31,'Corporate Headquarters','Buckinghamshire','Wethered House, Pound Lane',NULL,'Buckinghamshire','SL7 2AF',NULL,'GBR',NULL,NULL,NULL,NULL
29,'c:34',33,'HQ - Virginia','Washington DC','1595 Spring Hill Road','Suite 300','Vienna','22182','VA','USA',38.9261720000,-77.2451950000,NULL,NULL
30,'c:35',34,'Headquarters','Los Angeles','888 East Walnut Street',NULL,'Pasadena','91101','CA','USA',34.1494713000,-118.1327468000,NULL,NULL
31,'c:36',35,'','Los Angeles','3525 Eastham Dr.',NULL,'Culver City','90232','CA','USA',34.0176060000,-118.4872670000,NULL,NULL
32,'c:37',36,NULL,'United States - Other',NULL,NULL,NULL,NULL,NULL,'USA',37.0902400000,-95.7128910000,NULL,NULL
33,'c:38',37,NULL,'SF Bay','442 Post Street','10th Floor','San Francisco','94102','CA','USA',37.7884820000,-122.4091730000,NULL,NULL
34,'c:39',38,NULL,'SF Bay','115 everett ave.',NULL,'palo alto','94301','CA','USA',NULL,NULL,NULL,NULL
35,'c:40',39,'','San Diego','10180 Telesis Court Suite','Suite  400','San Diego','92121','CA','USA',32.9022660000,-117.2083400000,NULL,NULL
36,'c:41',40,NULL,'Washington DC','7950 Jones Branch Drive',NULL,'McLean','22107','VA','USA',38.9292890000,-77.2165850000,NULL,NULL
37,'c:42',41,'HQ','New York','One Time Warner Center',NULL,'New York','10019','NY','USA',37.2691750000,-119.3066070000,NULL,NULL
38,'c:43',42,NULL,'Austin',NULL,NULL,'Austin',NULL,'TX','USA',30.2687350000,-97.7452090000,NULL,NULL
39,'c:44',43,'','New York','475 Park Ave South','10th Floor','New York','10016','NY','USA',37.4809990000,-122.1738870000,NULL,NULL
40,'c:45',44,NULL,'California - Other',NULL,NULL,NULL,NULL,'CA','USA',37.2691750000,-119.3066070000,NULL,NULL
41,'c:47',46,'Brisbane, CA','SF Bay','2000 Marina Boulevard','10th Floor','Brisbane','94005','CA','USA',37.6741593000,-122.3859354000,NULL,NULL
42,'c:48',47,NULL,'Chicago','180 North Stetson Avenue','Suite 3500','Chicago','60601','IL','USA',41.8856190000,-87.6223090000,NULL,NULL
43,'c:49',48,NULL,'SF Bay',NULL,NULL,'Palo Alto','','CA','USA',37.4373280000,-122.1599280000,NULL,NULL
44,'c:50',49,NULL,'New York','632 Broadway','10th Floor','New York','10012','NY','USA',40.7260400000,-73.9957220000,NULL,NULL
45,'c:51',50,NULL,'SF Bay','440 N. Wolfe Road',NULL,'Sunnyvale','94085','CA','USA',37.3842390000,-122.0124750000,NULL,NULL
46,'c:52',51,NULL,'United States - Other',NULL,NULL,NULL,'',NULL,'USA',37.0902400000,-95.7128910000,NULL,NULL
47,'c:53',52,'','Phoenix','60 E. Rio Salado Pkwy, Suite 400',NULL,'Tempe','85281','AZ','USA',33.4298590000,-111.9387390000,NULL,NULL
48,'c:54',53,NULL,'SF Bay','400 Montgomery St, Suite 900',NULL,'San Francisco','94104','CA','USA',37.7931480000,-122.4025670000,NULL,NULL
49,'c:55',54,'','California - Other',NULL,NULL,NULL,'','CA','USA',37.6978050000,-121.9077680000,NULL,NULL
50,'c:56',55,NULL,'SF Bay','645 harrison',NULL,'San Francisco','94017','CA','USA',37.7833830000,-122.3957080000,NULL,NULL
51,'c:57',56,'','SF Bay','67 E. Evelyn Ave, Suite 200',NULL,'Mountain View','94041','CA','USA',37.3900560000,-122.0676920000,NULL,NULL
52,'c:58',57,'','SF Bay','101 2nd Street','15th Floor','San Francisco','94105','CA','USA',37.7897600000,-122.4025240000,NULL,NULL
53,'c:59',58,'Google Headquarters','SF Bay','1600 Amphitheatre Parkway',NULL,'Mountain View','','CA','USA',37.4219720000,-122.0841430000,NULL,NULL
54,'c:60',59,'Jajah HQ','SF Bay','2513 Charleston Road','Suite 102','Mountain View','94043','CA','USA',37.4233896000,-122.0899512000,NULL,NULL
55,'c:61',60,'Waterfall Mobile','SF Bay','25 Division Street, Suite 205',NULL,'San Francisco','94103','CA','USA',NULL,NULL,NULL,NULL
56,'c:62',61,'Global HQ','Luxembourg City','23-29 Rives de Clausen',NULL,'Luxembourg City','L-2165',NULL,'LUX',51.5181320000,-0.1319160000,NULL,NULL
57,'c:63',62,'Corporate Headquarters','SF Bay','901 Cherry Ave',NULL,'San Bruno','94066','CA','USA',37.6279710000,-122.4268040000,NULL,NULL
58,'c:64',63,'','Los Angeles','1975 pads rd','Suite 3000','Los Angeles','90071','CA','USA',34.0514090000,-118.2545580000,NULL,NULL
59,'c:65',64,'Headquarters','Ramat Gan','30 Ben Gurion St.',NULL,'Ramat Gan','52573',NULL,'ISR',31.0460510000,34.8516120000,NULL,NULL
60,'c:66',65,'Livestream HQ','New York','111 8th Avenue, #1509',NULL,'New York','10011','NY','USA',40.7261550000,-73.9956250000,NULL,NULL
61,'c:67',66,NULL,'SF Bay','36 Clyde Street',NULL,'San Francisco','94107','CA','USA',37.7784380000,-122.3940980000,NULL,NULL
62,'c:68',67,'San Francisco Office','SF Bay','410 Townsend','Suite 400','San Francisco','94107','CA','USA',37.3929360000,-122.0794800000,NULL,NULL
63,'c:69',68,'','New York','131 Varick St',NULL,'NYC','10013','NY','USA',40.8013580000,-74.3372000000,NULL,NULL
64,'c:70',69,NULL,'New York','520 Broadway','10th Floor','New York','10012','NY','USA',40.7226550000,-73.9987300000,NULL,NULL
65,'c:72',70,NULL,'SF Bay','48389 Fremont Blvd., Suite #110',NULL,'Fremont','94538','CA','USA',37.4656450000,-121.9322020000,NULL,NULL
66,'c:73',71,NULL,'San Diego','5960 Cornerstone Court West, Suite 101',NULL,'San Diego',NULL,'CA','USA',32.8952670000,-117.1913420000,NULL,NULL
67,'c:74',72,NULL,'New York','2001 West Main St., Suite 255',NULL,'Stamford','06902','CT','USA',41.0490510000,-73.5638780000,NULL,NULL
68,'c:77',74,'Headquarters','SF Bay','Two Waters Park Drive','Suite 200','San Mateo','94403','CA','USA',37.5514410000,-122.2914350000,NULL,NULL
69,'c:78',75,NULL,'SF Bay',NULL,NULL,'Palo Alto','94301','CA','USA',37.4429600000,-122.1511980000,NULL,NULL
70,'c:79',76,NULL,'Chicago','435 North Michigan Avenue',NULL,'Chicago','60611','IL','USA',41.8905690000,-87.6242500000,NULL,NULL
71,'c:80',77,NULL,'Seattle','3131 Elliott Avenue Suite 600',NULL,'Seattle','98121','WA','USA',47.6176820000,-122.3572420000,NULL,NULL
72,'c:81',78,'','SF Bay','1459 18th Street, Suite 142',NULL,'San Francisco','94107','CA','USA',37.7625410000,-122.3972240000,NULL,NULL
73,'c:82',79,'HQ','SF Bay','2415 3rd St',NULL,'San Francisco','94107','CA','USA',37.7577580000,-122.3882430000,NULL,NULL
74,'c:83',80,NULL,'London',NULL,NULL,'Oxford',NULL,NULL,'GBR',51.7522760000,-1.2558240000,NULL,NULL
75,'c:84',81,'','SF Bay','2121 S. El Camino Real','11th Floor','San Mateo','94403','CA','USA',37.5583150000,-122.2862240000,NULL,NULL
76,'c:85',82,'San Francisco Office','SF Bay','111 Sutter Street','Suite 850','San Francisco','94104','CA','USA',37.7897600000,-122.4025240000,NULL,NULL
77,'c:86',83,NULL,'SF Bay','650 Castro Street, #300',NULL,'Mountain View','94041','CA','USA',37.3880770000,-122.0831600000,NULL,NULL
78,'c:87',84,NULL,'California - Other',NULL,NULL,NULL,NULL,'CA','USA',37.2691750000,-119.3066070000,NULL,NULL
79,'c:88',85,NULL,'Seattle',NULL,NULL,'Seattle',NULL,'WA','USA',47.6207160000,-122.3475330000,NULL,NULL
80,'c:89',86,'QLL COMMUNICATIONS','SCHUYLER LAKE','P.O. BOX 150',NULL,'SCHUYLER LAKE','13457','NY','USA',37.4883360000,-122.2179640000,NULL,NULL
81,'c:90',87,'','SF Bay','1110 Burlingame Ave','Suite 300','Burlingame','94010','CA','USA',37.5592870000,-122.3022620000,NULL,NULL
82,'c:91',88,'','Los Angeles','16161 Ventura Blvd.','Suite C PMB 461','Encino','91436','CA','USA',37.2691750000,-119.3066070000,NULL,NULL
83,'c:92',89,'','SF Bay','617 Front St',NULL,'San Francisco','94111','CA','USA',37.7973400000,-122.3995830000,NULL,NULL
84,'c:93',90,NULL,'SF Bay','374 Brannan St.',NULL,'San Francisco','94107','CA','USA',37.7807160000,-122.3939130000,NULL,NULL
85,'c:94',91,'HQ','United States - Other',NULL,NULL,NULL,'',NULL,'USA',37.0902400000,-95.7128910000,NULL,NULL
86,'c:96',93,NULL,'Boston',NULL,NULL,'Cambridge',NULL,'MA','USA',42.3753920000,-71.1184870000,NULL,NULL
87,'c:97',94,NULL,'Vancouver',NULL,NULL,'Vancouver','',NULL,'CAN',49.2635880000,-123.1385650000,NULL,NULL
88,'c:98',95,NULL,'Moscow',NULL,NULL,'Moscow',NULL,NULL,'RUS',55.7557860000,37.6176330000,NULL,NULL
89,'c:99',96,NULL,'New York',NULL,NULL,'Long Island City','','NY','USA',40.7446800000,-73.9485000000,NULL,NULL
90,'c:100',97,NULL,'SF Bay','1855 South Grant Street','3rd Floor','San Mateo','94402','CA','USA',37.5533850000,-122.3021490000,NULL,NULL
91,'c:101',98,NULL,'Bocholt','Harderhook 22',NULL,'46395 Bocholt',NULL,NULL,'DEU',51.8089330000,6.5534520000,NULL,NULL
92,'c:103',100,'Head Quarters','SF Bay','167 2nd Ave',NULL,'San Mateo','94401','CA','USA',37.4216210000,-122.1374440000,NULL,NULL
93,'c:104',101,NULL,'Dublin','East Wall Road','Docklands Innovation Park','Dublin','',NULL,'IRL',53.3549970000,-6.2292550000,NULL,NULL
94,'c:105',102,'','New York','770 Broadway','5th Floor','New York','10003','NY','USA',37.8097820000,-122.4173060000,NULL,NULL
95,'c:106',103,'iContact','Raleigh-Durham','5221 Paramount Parkway',NULL,'Morrisville','27560','NC','USA',NULL,NULL,NULL,NULL
96,'c:107',104,NULL,'SF Bay','500 Airport Blvd., Suite 400',NULL,'Burlingame','94010','CA','USA',37.5903390000,-122.3417150000,NULL,NULL
97,'c:108',105,NULL,'SF Bay','1 Market Street','19th Floor, Spear Tower','San Francisco','94105','CA','USA',37.7938190000,-122.3950890000,NULL,NULL
98,'c:110',107,NULL,'Boston',NULL,NULL,'Cambridge','02139','MA','USA',42.3643970000,-71.1011960000,NULL,NULL
99,'c:111',108,NULL,'Los Angeles','5737 Kanan Rd.',NULL,'Agoura Hills','91301','CA','USA',34.1552110000,-118.7566180000,NULL,NULL
100,'c:112',109,'','Paris','55 rue Servan',NULL,'Paris','75011',NULL,'FRA',48.8628250000,2.3818360000,NULL,NULL
101,'c:113',110,'','SF Bay','706 Mission Street','7th Floor','San Francisco','94103','CA','USA',37.7861830000,-122.4021950000,NULL,NULL
