"id", "object_id", "first_name", "last_name", "birthplace", "affiliation_name"
1,'p:2','Ben','Elowitz',NULL,'Blue Nile'
2,'p:3','Kevin','Flaherty',NULL,'Wetpaint'
3,'p:4','Raju','Vegesna',NULL,'Zoho'
4,'p:5','Ian','Wenig',NULL,'Zoho'
5,'p:6','Kevin','Rose','Redding, CA','i/o Ventures'
6,'p:7','Jay','Adelson','Detroit, MI','Digg'
7,'p:8','Owen','Byrne',NULL,'Digg'
8,'p:9','Ron','Gorodetzky',NULL,'Digg'
9,'p:10','Mark','Zuckerberg',NULL,'Facebook'
10,'p:11','Dustin','Moskovitz','Gainesville, FL','Facebook'
11,'p:12','Owen','Van Natta',NULL,'Asana'
12,'p:13','Matt','Cohler',NULL,'LinkedIn'
13,'p:14','Chris','Hughes','Hickery, North Carolina','General Catalyst Partners'
14,'p:16','Alex','Welch',NULL,'C7 Group'
15,'p:17','Darren','Crystal',NULL,'Photobucket'
16,'p:18','Michael','Clark',NULL,'Photobucket (Old)'
17,'p:19','Greg','Wimmer',NULL,'Photobucket'
18,'p:20','Peter','Foster',NULL,'Photobucket'
19,'p:21','Heather','Dana',NULL,'Photobucket'
20,'p:22','Peter','Pham',NULL,'Photobucket, Inc.'
21,'p:23','Scott','Penberthy',NULL,'Photobucket'
22,'p:24','Alice','Lankester','Surrey, England','Apple'
23,'p:25','Alex','Musil',NULL,'Photobucket'
24,'p:26','Peter','Thiel',NULL,'Confinity'
25,'p:29','Gus','Tai',NULL,'BillShrink'
26,'p:30','David','Sacks',NULL,'GumGum'
27,'p:31','Alan','Braverman',NULL,'Geni'
28,'p:32','Ken','Howery',NULL,'The Founder\'s Fund'
29,'p:33','Luke','Nosek',NULL,'The Founder\'s Fund'
30,'p:34','Sean','Parker',NULL,'Asana'
31,'p:35','George','Zachary',NULL,'Millennial Media'
32,'p:37','Greg','Waldorf',NULL,'Charles River Ventures'
33,'p:39','Jason','Rubin','USA','Monkey Gods'
34,'p:40','Andy','Gavin',NULL,'Flektor'
35,'p:41','Jason','Kay',NULL,'Flektor'
36,'p:42','Evan','Williams',NULL,'Google'
37,'p:43','Garrett','Camp',NULL,'CitiVox'
38,'p:44','Geoff','Smith',NULL,'StumbleUpon'
39,'p:45','Justin','LeFrance',NULL,'StumbleUpon'
40,'p:46','Jack','Dorsey','St. Louis, MO','Twitter, Square'
41,'p:48','Jason','Goldman',NULL,'Twitter'
42,'p:49','Biz','Stone',NULL,'Twitt
